Ticker,Name,ROE%,NetIncome
8795.T,Ｔ＆Ｄホールディングス,9.573,138968006656
8801.T,三井不動産,8.169,278684008448
8802.T,三菱地所,8.384,222507008000
8804.T,東京建物,8.877,50248998912
8830.T,住友不動産,9.1630004,212535001088
8876.T,リログループ,26.773999999999997,20664999936
9001.T,東武鉄道,9.471,55620001792
9003.T,相鉄ホールディングス,12.892000000000001,24847998976
9005.T,東急,9.718,87070998528
9008.T,京王電鉄,10.023,42929000448
9009.T,京成電鉄,9.050999599999999,48022999040
9020.T,東日本旅客鉄道,8.387,247845994496
9021.T,西日本旅客鉄道,10.167,127499001856
9022.T,東海旅客鉄道,11.4700004,552871002112
9023.T,東京地下鉄,8.133,59015000064
9031.T,西日本鉄道,11.969000000000001,32155000832
9041.T,近鉄グループホールディングス,9.58,53771001856
9045.T,京阪ホールディングス,10.465,33581000704
9065.T,山九,10.474,31505000448
9069.T,センコーグループホールディングス,8.258000000000001,19320000512
9142.T,九州旅客鉄道,9.546000000000001,45468000256
9143.T,ＳＧホールディングス,10.507,59065999360
9201.T,日本航空,12.286,133381996544
9202.T,ＡＮＡホールディングス,12.94,166966001664
9301.T,三菱倉庫,14.419,54772998144
9302.T,三井倉庫ホールディングス,10.137,11150999552
9364.T,上組,8.0249995,31261999104
9432.T,ＮＴＴ,10.042,1037032030208
9433.T,ＫＤＤＩ,14.005999999999998,707112009728
9434.T,ソフトバンク,16.267,541359013888
9435.T,光通信,14.457,150977003520
9449.T,ＧＭＯインターネットグループ,18.714,17506000896
9503.T,関西電力,11.607000000000001,380050997248
9504.T,中国電力,9.225000399999999,68538998784
9505.T,北陸電力,12.839999999999998,54465998848
9506.T,東北電力,8.012999599999999,84975001600
9507.T,四国電力,11.107001,50808999936
9508.T,九州電力,13.780999999999999,148735000576
9509.T,北海道電力,10.302999999999999,43997999104
9531.T,東京瓦斯,12.762,226856992768
9532.T,大阪瓦斯,8.501001,152750997504
9602.T,東宝,10.328,51768000512
9616.T,共立メンテナンス,15.28,18709000192
9627.T,アインホールディングス,8.336,12126000128
9684.T,スクウェア・エニックス・ホールディングス,8.648,29616001024
9706.T,日本空港ビルデング,17.607999999999997,29138999296
9735.T,セコム,8.693,112662003712
9744.T,メイテックグループホールディングス,30.861,15050999808
9759.T,ＮＳＤ,18.398,13009000448
9766.T,コナミグループ,19.115,100012998656
9934.T,因幡電機産業,12.645999999999999,23420000256
9962.T,ミスミグループ本社,11.061,40456998912
9983.T,ファーストリテイリング,20.616,478733008896
9984.T,ソフトバンクグループ,32.724,4983632166912
9987.T,スズケン,9.264,38136000512
9989.T,サンドラッグ,11.298,31392000000
